goods_nomenclature_item_id,productline_suffix,referenced_class,title,indent
0406907690,80,Commodity,samsø,
0406907990,80,Commodity,saint-nectaire,
0406907990,80,Commodity,taleggio,
0406908190,80,Commodity,blarney,
0406908190,80,Commodity,cheshire,
0406908190,80,Commodity,colby,
0406908190,80,Commodity,double gloucester,
0406908190,80,Commodity,lancashire,
0406908190,80,Commodity,monterey,
0406908190,80,Commodity,wensleydale,
0406908990,80,Commodity,halloumi,
0407000000,80,Heading,eggs and yolks,
0407000000,80,Heading,hatching eggs,
0408000000,80,Heading,"yolk, egg",
0409000000,80,Heading,"honey, natural",
0410000000,80,Heading,turtles eggs (edible),
0501000000,80,Heading,"hair, other - human, unworked",
0502000000,80,Heading,"bristles, animal",
0502000000,80,Heading,brush making hair,
0502000000,80,Heading,"hair, animal - badger, hog and pig",
0504000000,80,Heading,"bladders, animal",
0504000000,80,Heading,casings sausage natural,
0504000000,80,Heading,"guts, animal",
0504000000,80,Heading,organs (animal),
0504000000,80,Heading,"stomachs, animal",
0505000000,80,Heading,down,
0505000000,80,Heading,feathers undressed,
0505000000,80,Heading,"quills, raw",
0505000000,80,Heading,skins - bird,
0506000000,80,Heading,"bone and bone pieces, meal and powder",
0506000000,80,Heading,horn-cores,
0506000000,80,Heading,meal - bone,
0506000000,80,Heading,ossein,
0507000000,80,Heading,antlers,
0507000000,80,Heading,claws,
0507000000,80,Heading,hooves,
0507000000,80,Heading,ivory unworked,
0507000000,80,Heading,"nail, animals",
0507000000,80,Heading,"tortoise shell, unworked",
0507000000,80,Heading,whalebone,
0508000000,80,Heading,coral unworked,
0508000000,80,Heading,"mother of pearl, unworked",
0508000000,80,Heading,"shells, sea",
0510000000,80,Heading,ambergris,
0510000000,80,Heading,bile,
0510000000,80,Heading,cantharides,
0510000000,80,Heading,civet,
0510000000,80,Heading,"glands, animal (unfit for human consumption)",
0510000000,80,Heading,musk,
0510000000,80,Heading,"offal, for the manufacture of pharmaceutical products",
0510000000,80,Heading,organs (animal),
0511000000,80,Heading,"animals, dead (unfit for human consumption)",
0511000000,80,Heading,"blood, animal",
0511000000,80,Heading,cochineal,
0511000000,80,Heading,"eggs, fish for hatching",
0511000000,80,Heading,embryos animal,
0511000000,80,Heading,"fish - bladders and waste, inedible dead, livers and roes, ova, fish for hatching",
0511000000,80,Heading,hide waste,
0511000000,80,Heading,organs (animal),
0511000000,80,Heading,semen,
0511000000,80,Heading,sinews,
0511000000,80,Heading,skins - waste,
0511000000,80,Heading,sponges - natural,
0511000000,80,Heading,tendons,
0601000000,80,Heading,amaryllis,
0601000000,80,Heading,anemone,
0601000000,80,Heading,"bulbs, flower",
0601000000,80,Heading,chicory root unroasted,
0601000000,80,Heading,corms,
0601000000,80,Heading,fruit kernels,
0601000000,80,Heading,"roots, tuberous",
0601000000,80,Heading,tubers and tuberous roots,
0602000000,80,Heading,"buds, for grafting and budding",
0602000000,80,Heading,cuttings,
0602000000,80,Heading,eyes for grafting and budding,
0602000000,80,Heading,fruit stocks and trees,
0602000000,80,Heading,mushroom spawn,
0602000000,80,Heading,"roots, plant (other than tuberous)",
0602000000,80,Heading,"rose stocks, trees, shrubs, bushes and plants",
0602000000,80,Heading,shrubs,
0602000000,80,Heading,"slips, plant",
0602000000,80,Heading,standard trees,
0602000000,80,Heading,stems for grafting and budding,
0602000000,80,Heading,"stocks, fruit",
0602000000,80,Heading,"stocks, rose",
0603000000,80,Heading,bouquets - other,
0603000000,80,Heading,branches,
0603000000,80,Heading,"buds, flower",
0603000000,80,Heading,cut flowers,
0603000000,80,Heading,flower buds,
0603000000,80,Heading,flower bulbs,
0603000000,80,Heading,garlands,
0603000000,80,Heading,wreaths,
0604000000,80,Heading,"foliage, natural and ornamental (not bearing flowers or flower buds)",
0604000000,80,Heading,grasses for ornamental purposes,
0604000000,80,Heading,lichens for ornamental purposes,
0604000000,80,Heading,mosses for ornamental purposes,
0700000000,80,Chapter,herbs,
0701000000,80,Heading,potatoes (fresh),
0702000000,80,Heading,tomatoes (fresh or chilled),
0703000000,80,Heading,garlic (fresh),
0703000000,80,Heading,onions (fresh),
0703900000,80,Commodity,chives,
0704000000,80,Heading,cauliflowers,
0705000000,80,Heading,chicory salad fresh or chilled,
0705000000,80,Heading,lettuce (fresh),
0706000000,80,Heading,horseradish (fresh),
0706000000,80,Heading,parsnips,
0706100010,80,Commodity,"carrots, fresh",
0707000000,80,Heading,"cucumbers, fresh or chilled",
0708000000,80,Heading,beans (fresh or chilled),
0708000000,80,Heading,peas (fresh or chilled),
0709000000,80,Heading,allspice (fresh),
0709000000,80,Heading,asparagus (fresh),
0709000000,80,Heading,capers (fresh),
0709000000,80,Heading,capsicums (fresh or chilled),
0709000000,80,Heading,mushrooms,
0709000000,80,Heading,peppers (fresh or chilled),
0709000000,80,Heading,pimento,
0709000000,80,Heading,pumpkins (fresh),
0709000000,80,Heading,spices,
0709000000,80,Heading,spinach (fresh),
0709600000,80,Subheading,"chillies, fresh",
0709930000,80,Subheading,butternut squash,
0710000000,80,Heading,Frozen vegetables (mixed),
0710000000,80,Heading,horseradish (frozen),
0710000000,80,Heading,mixed vegetables (frozen),
0710000000,80,Heading,sweetcorn (frozen),
0711000000,80,Heading,capers (preserved),
0711000000,80,Heading,olives (preserved),
0711000000,80,Heading,"vegetables, edible - provisionally preserved",
0713000000,80,Heading,"beans - leguminous, for sowing",
0713000000,80,Heading,dried lentils,
0713000000,80,Heading,field beans,
0713000000,80,Heading,horse beans,
0713000000,80,Heading,seeds - leguminous vegetable,
0713000000,80,Heading,split peas,
0713000000,80,Heading,tic beans,
0713600000,80,Commodity,arhar,
0713600000,80,Commodity,gungo peas,
0713600000,80,Commodity,red gram,
0713600000,80,Commodity,tur,
0714000000,80,Heading,arrowroot,
0714000000,80,Heading,dasheens,
0714000000,80,Heading,jerusalem artichokes,
0714000000,80,Heading,manioc,
0714000000,80,Heading,sweet potatoes,
0801000000,80,Heading,"brazil nuts, fresh or dried",
0801000000,80,Heading,"cashew nuts, fresh or dried",
0801000000,80,Heading,coconuts fresh or dried,
0801000000,80,Heading,desiccated coconut,
0802000000,80,Heading,almond nuts - fresh or dried,
0802000000,80,Heading,areca and cola nuts,
0802000000,80,Heading,"betel nuts, fresh or dried",
0802000000,80,Heading,"chestnut, fresh and dried",
0802000000,80,Heading,cola (kola) nuts,
0802000000,80,Heading,"filberts, fresh or dried",
0802000000,80,Heading,"hazelnuts, fresh or dried",
0802000000,80,Heading,"pecan nuts, fresh or dried",
0802000000,80,Heading,"pistachio nuts, fresh or dried",
0802000000,80,Heading,"walnuts, fresh or dried",
0803000000,80,Heading,"bananas, including plantains, fresh or dried",
0803000000,80,Heading,"plantains, fresh or dried",
0804000000,80,Heading,avocados fresh or dried,
0804000000,80,Heading,"dates, fresh or dried",
0804000000,80,Heading,"figs, fresh or dried",
0804000000,80,Heading,"guavas, fresh or dried",
0804000000,80,Heading,"mangoes, fresh or dried",
0804000000,80,Heading,"pineapples, fresh or dried",
0805000000,80,Heading,citrus fruit (fresh or dried),
0805000000,80,Heading,clementines (fresh or dried),
0805000000,80,Heading,mandarins (fresh or dried),
0805000000,80,Heading,oranges (fresh or dried),
0805000000,80,Heading,pomelos (fresh or dried),
0805000000,80,Heading,satsumas (fresh or dried),
0805000000,80,Heading,tangerines (fresh or dried),
0805000000,80,Heading,wilkings (fresh or dried),
0806000000,80,Heading,currants,
0806000000,80,Heading,grapes (fresh),
0806000000,80,Heading,raisins,
