Key,Description,Description alternative,Parent,Sibling count
7211900000_80,Other,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated (excluding not further worked than hot-rolled / not further worked than cold-rolled)","Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated",2
7212300080_80,Other,"Otherwise plated or coated with zinc (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Otherwise plated or coated with zinc,2
7212506180_80,Other,"Plated or coated with aluminium-zinc alloys (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Plated or coated with aluminium-zinc alloys,2
7212506980_80,Other,"Other than plated or coated with aluminium-zinc alloys (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Other than plated or coated with aluminium-zinc alloys,2
7212509000_80,Other,Otherwise plated or coated (excluding plated or coated with chromium oxides or with chromium and chromium oxides / plated or coated with chromium or nickel / plated or coated with copper / plated or coated with aluminium),Otherwise plated or coated,4
7212509019_80,Other,"Other than silvered, gilded, platinum-plated or enamelled (excluding not further worked than surface-treated / plated or coated by hot dip galvanisation with magnesium or magnesium-zinc alloys, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)","Other than silvered, gilded, platinum-plated or enamelled",2
7213910000_10,Other,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel (excluding containing indentations, ribs, grooves or other deformations produced during the rolling process / other, of free-cutting steel)","Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel",2
7213914100_10,Other,Of circular cross-section measuring less than 14 mm in diameter (excluding of a type used for concrete reinforcement / of a type used for tyre cord),Of circular cross-section measuring less than 14 mm in diameter,2
7214910000_10,Other,"Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling (excluding forged / containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling / other, of free-cutting steel)","Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",3
7214995000_80,Other,"Containing by weight less than 0,25 % of carbon (excluding of a type used for concrete reinforcement / other, of circular cross-section measuring in diameter)","Containing by weight less than 0,25 % of carbon",2
