Key,Description,Description alternative,Parent,Sibling count
7208908090_80,Other,"Other than perforated (excluding not further worked than surface-treated or simply cut into shapes other than rectangular / of non-alloy steel, excluding tool steel, of a thickness exceeding 10 mm or of a thickness of 4,75 mm or more but not exceeding 10 mm and of a width of 2 050 mm or more)",Other than perforated,2
7209900000_80,Other,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated (excluding in coils, not further worked than cold-rolled / not in coils, not further worked than cold-rolled)","Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated",2
7210410080_80,Other,"Corrugated (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Corrugated,2
7210490080_80,Other,"Other than corrugated (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Other than corrugated,2
7210610080_80,Other,"Plated or coated with aluminium-zinc alloys (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Plated or coated with aluminium-zinc alloys,2
7210690080_80,Other,"Other than plated or coated with aluminium-zinc alloys (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation with aluminium and/or magnesium, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Other than plated or coated with aluminium-zinc alloys,2
7210900000_80,Other,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated (excluding plated or coated with tin / plated or coated with lead, including terne-plate / electrolytically plated or coated with zinc / otherwise plated or coated with zinc / plated or coated with chromium oxides or with chromium and chromium oxides / plated or coated with aluminium / painted, varnished or coated with plastics)","Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated",7
7210908000_80,Other,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated (excluding plated or coated with tin / plated or coated with lead, including terne-plate / electrolytically plated or coated with zinc / otherwise plated or coated with zinc / plated or coated with chromium oxides or with chromium and chromium oxides / plated or coated with aluminium / painted, varnished or coated with plastics) (excluding clad / tinned and printed)","Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated (excluding plated or coated with tin / plated or coated with lead, including terne-plate / electrolytically plated or coated with zinc / otherwise plated or coated with zinc / plated or coated with chromium oxides or with chromium and chromium oxides / plated or coated with aluminium / painted, varnished or coated with plastics)",2
7210908099_80,Other,"Other than silvered, gilded, platinium-plated or enamelled (excluding not further worked than surface-treated, including cladding, or simply cut into shapes other than rectangular / plated or coated by hot dip galvanisation with magnesium or magnesium-zinc alloys, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)","Other than silvered, gilded, platinium-plated or enamelled",2
7211190000_80,Other,"Not further worked than hot-rolled (excluding rolled on four faces or in a closed box pass, of a width exceeding 150 mm and a thickness of not less than 4 mm, not in coils and without patterns in relief / other, of a thickness of 4,75 mm or more)",Not further worked than hot-rolled,2
